2022-11-12 06:42:43 - Rotating Log - DEBUG - trying things with logger
2022-11-12 06:42:44 - matplotlib.pyplot - DEBUG - Loaded backend module://matplotlib_inline.backend_inline version unknown.
2022-11-12 06:42:44 - matplotlib.pyplot - DEBUG - Loaded backend module://matplotlib_inline.backend_inline version unknown.
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
